"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"iqtig-mammachirurgie-181.teildatensatzBasis.datensatzVersion","iqtig-mammachirurgie-181.teildatensatzBasis.datensatzVersion","","","",1,1,"","","","string {[]} {[]}
","B:DS_VERSION","Version des Datensatzes (z.B. 18.1_2024_V05)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.datensatzVersion",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.geburtsdatum","iqtig-mammachirurgie-181.teildatensatzBasis.geburtsdatum","","","",1,1,"","","","date {[]} {[]}
","B:GEBDATUM","Geburtsdatum der Patientin / des Patienten","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.geburtsdatum",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.geschlecht","iqtig-mammachirurgie-181.teildatensatzBasis.geschlecht","","","",1,1,"","","","code {[]} {[]}
","B:GESCHLECHT","Geschlecht: 1=maennlich, 2=weiblich, 8=X, 9=unbestimmt","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.geschlecht",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.postleitzahl","iqtig-mammachirurgie-181.teildatensatzBasis.postleitzahl","","","",0,1,"","","","string {[]} {[]}
","B:PLZ","Postleitzahl des Wohnorts (5-stellig)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.postleitzahl",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmedatum","iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmedatum","","","",1,1,"","","","date {[]} {[]}
","B:AUFNDATUM","Aufnahmedatum in die behandelnde Einrichtung","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmedatum",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmegrund","iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmegrund","","","",0,1,"","","","code {[]} {[]}
","B:AUFNGRUND","Aufnahmegrund nach Paragraph 301 SGB V (4-stellig)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmegrund",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmeanlass","iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmeanlass","","","",0,1,"","","","code {[]} {[]}
","B:AUFNANLASS","Aufnahmeanlass: E=Einweisung, N=Notfall, V=Verlegung, G=Geburt, ...","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmeanlass",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.einwilligungDatenuebermittlung","iqtig-mammachirurgie-181.teildatensatzBasis.einwilligungDatenuebermittlung","","","",0,1,"","","","code {[]} {[]}
","B:EINWLANDESGBA","Einwilligung zur Datenuebermittlung an Landesstelle/G-BA (0=nein, 1=ja, 9=unbekannt)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.einwilligungDatenuebermittlung",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.entlassungsdatum","iqtig-mammachirurgie-181.teildatensatzBasis.entlassungsdatum","","","",1,1,"","","","date {[]} {[]}
","B:ENTLDATUM","Entlassungsdatum aus der Einrichtung","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.entlassungsdatum",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.entlassungsgrund","iqtig-mammachirurgie-181.teildatensatzBasis.entlassungsgrund","","","",0,1,"","","","code {[]} {[]}
","B:ENTLGRUND","Entlassungs-/Verlegungsgrund nach Paragraph 301 SGB V","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.entlassungsgrund",0,1,"",""
